username,link,path,gender,mode,activity_level,chapter_location
312630eb47391dcdc6c5ac4d90e72ee8ab241d3d6a3f992cb0bc0c357f16f4da,"{""target_url"": ""https://www.khanacademy.org/math/probability/descriptive-statistics/variance-std-deviation/a/calculating-standard-deviation-step-by-step"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/2015cee924c3472cb8c3e6ec83b13077/4b586c1f090e4d29b4d768bfc4e7f9c5/,m,audit,over_5_hr,Part 3: Research Methods II
312630eb47391dcdc6c5ac4d90e72ee8ab241d3d6a3f992cb0bc0c357f16f4da,"{""target_url"": ""https://www.khanacademy.org/math/probability/descriptive-statistics/central-tendency/e/mean_median_and_mode"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/2015cee924c3472cb8c3e6ec83b13077/4b586c1f090e4d29b4d768bfc4e7f9c5/,m,audit,over_5_hr,Part 3: Research Methods II
1550cbb8892d197659a05a99471be8ef522a170248ee866b0a9852716a3b0682,"{""target_url"": ""http://cnx.org/contents/4abf04bf-93a0-45c3-9cbc-2cefd46e68cc@5.46"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/c080216c47394f9591d9b36683747441/7bbf5e7db7b14bd5af987ba913855eb5/?child=first,f,audit,under_30_min,Part 2: Research Methods I
1550cbb8892d197659a05a99471be8ef522a170248ee866b0a9852716a3b0682,"{""target_url"": ""http://cnx.org/contents/4abf04bf-93a0-45c3-9cbc-2cefd46e68cc@5.46"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/c080216c47394f9591d9b36683747441/7bbf5e7db7b14bd5af987ba913855eb5/?child=first,f,audit,under_30_min,Part 2: Research Methods I
94841c3b3e7c890622bca1dce640c2fdd7e84385b1c567d805baee822707824c,"{""target_url"": ""https://d37djvu3ytnwxt.cloudfront.net/assets/courseware/v1/736718efe6a914477fc11bc7cbf090af/asset-v1:UBCx+PSYC.1x+3T2016+type@asset+block/course1Part1Readings.pdf"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/bae4586b8df44807816169824403920c/?child=first,f,audit,under_30_min,Part 1: What Is Psychology?
82994bf76eeecaa959dd2ba11c1f32d06fbdc6cd817d4eaadc13af5ece6d5893,"{""target_url"": ""https://www.youtube.com/watch?v=hFV71QPvX2I"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/c080216c47394f9591d9b36683747441/9a9ac5d785404130bd8efaac71f7ffcb/?child=last,m,audit,30_min_to_5_hr,Part 2: Research Methods I
82994bf76eeecaa959dd2ba11c1f32d06fbdc6cd817d4eaadc13af5ece6d5893,"{""target_url"": ""https://www.youtube.com/watch?v=hFV71QPvX2I"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/c080216c47394f9591d9b36683747441/9a9ac5d785404130bd8efaac71f7ffcb/?child=last,m,audit,30_min_to_5_hr,Part 2: Research Methods I
82994bf76eeecaa959dd2ba11c1f32d06fbdc6cd817d4eaadc13af5ece6d5893,"{""target_url"": ""http://www.livescience.com/25448-pareidolia.html"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/c080216c47394f9591d9b36683747441/9a9ac5d785404130bd8efaac71f7ffcb/?child=last,m,audit,30_min_to_5_hr,Part 2: Research Methods I
82994bf76eeecaa959dd2ba11c1f32d06fbdc6cd817d4eaadc13af5ece6d5893,"{""target_url"": ""http://www.simplypsychology.org/science-psychology.html"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/c080216c47394f9591d9b36683747441/9a9ac5d785404130bd8efaac71f7ffcb/?child=last,m,audit,30_min_to_5_hr,Part 2: Research Methods I
edc0cb55d0894b3cac8a80ac129e3031cb545167211a824352556955c6ce6a52,"{""target_url"": ""http://cnx.org/contents/4abf04bf-93a0-45c3-9cbc-2cefd46e68cc@5.46"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/d469bbfa19454aaf934f4c4c54da6f87/?child=first,m,audit,under_30_min,Part 1: What Is Psychology?
edc0cb55d0894b3cac8a80ac129e3031cb545167211a824352556955c6ce6a52,"{""target_url"": ""https://d37djvu3ytnwxt.cloudfront.net/assets/courseware/v1/736718efe6a914477fc11bc7cbf090af/asset-v1:UBCx+PSYC.1x+3T2016+type@asset+block/course1Part1Readings.pdf"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/9343693e210b4e8ca7c0482fdc166d27/bae4586b8df44807816169824403920c/?child=first,m,audit,under_30_min,Part 1: What Is Psychology?
40fa340902c12e01833df7e2bda8b9a6f7e150b26694fc6deaee4604951b5fc1,"{""target_url"": ""http://www.simplypsychology.org/science-psychology.html"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/c080216c47394f9591d9b36683747441/9a9ac5d785404130bd8efaac71f7ffcb/?child=first,m,audit,30_min_to_5_hr,Part 2: Research Methods I
40fa340902c12e01833df7e2bda8b9a6f7e150b26694fc6deaee4604951b5fc1,"{""target_url"": ""https://www.youtube.com/watch?v=hFV71QPvX2I"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/c080216c47394f9591d9b36683747441/9a9ac5d785404130bd8efaac71f7ffcb/?child=first,m,audit,30_min_to_5_hr,Part 2: Research Methods I
40fa340902c12e01833df7e2bda8b9a6f7e150b26694fc6deaee4604951b5fc1,"{""target_url"": ""https://www.youtube.com/watch?v=hFV71QPvX2I"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/c080216c47394f9591d9b36683747441/9a9ac5d785404130bd8efaac71f7ffcb/?child=first,m,audit,30_min_to_5_hr,Part 2: Research Methods I
40fa340902c12e01833df7e2bda8b9a6f7e150b26694fc6deaee4604951b5fc1,"{""target_url"": ""http://www.livescience.com/25448-pareidolia.html"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/c080216c47394f9591d9b36683747441/9a9ac5d785404130bd8efaac71f7ffcb/?child=first,m,audit,30_min_to_5_hr,Part 2: Research Methods I
40fa340902c12e01833df7e2bda8b9a6f7e150b26694fc6deaee4604951b5fc1,"{""target_url"": ""http://www.simplypsychology.org/correlation.html"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/c080216c47394f9591d9b36683747441/9a9ac5d785404130bd8efaac71f7ffcb/?child=first,m,audit,30_min_to_5_hr,Part 2: Research Methods I
40fa340902c12e01833df7e2bda8b9a6f7e150b26694fc6deaee4604951b5fc1,"{""target_url"": ""http://www.simplypsychology.org/research-methods.html"", """,https://courses.edx.org/courses/course-v1:UBCx+PSYC.1x+3T2016/courseware/c080216c47394f9591d9b36683747441/9a9ac5d785404130bd8efaac71f7ffcb/?child=first,m,audit,30_min_to_5_hr,Part 2: Research Methods I
