index,category,name,path,chapter_location
226,html,Methods - Description of Behavior: Learning Goals,/c080216c47394f9591d9b36683747441/e61d417129fd4973a96142df025ca608,Part 2: Research Methods I
228,video,"Part 2, Lecture 3: Description of Behavior",/c080216c47394f9591d9b36683747441/e61d417129fd4973a96142df025ca608,Part 2: Research Methods I
229,html,Lecture Slides,/c080216c47394f9591d9b36683747441/e61d417129fd4973a96142df025ca608,Part 2: Research Methods I
230,vertical,Glossary of Terms,/c080216c47394f9591d9b36683747441/e61d417129fd4973a96142df025ca608,Part 2: Research Methods I
231,html,Glossary of Terms,/c080216c47394f9591d9b36683747441/e61d417129fd4973a96142df025ca608,Part 2: Research Methods I
233,html,Instructions,/c080216c47394f9591d9b36683747441/e61d417129fd4973a96142df025ca608,Part 2: Research Methods I
237,sequential,Methods - Correlation,/c080216c47394f9591d9b36683747441/3efc4c88b20942a2867e130156740c1d,Part 2: Research Methods I
238,vertical,Methods - Correlation: Learning Goals,/c080216c47394f9591d9b36683747441/3efc4c88b20942a2867e130156740c1d,Part 2: Research Methods I
239,html,Methods - Correlation: Learning Goals,/c080216c47394f9591d9b36683747441/3efc4c88b20942a2867e130156740c1d,Part 2: Research Methods I
241,video,"Part 2, Lecture 4: Methods - Correlation",/c080216c47394f9591d9b36683747441/3efc4c88b20942a2867e130156740c1d,Part 2: Research Methods I
242,html,Lecture Slides,/c080216c47394f9591d9b36683747441/3efc4c88b20942a2867e130156740c1d,Part 2: Research Methods I
243,vertical,Glossary of Terms,/c080216c47394f9591d9b36683747441/3efc4c88b20942a2867e130156740c1d,Part 2: Research Methods I
244,html,Glossary of Terms,/c080216c47394f9591d9b36683747441/3efc4c88b20942a2867e130156740c1d,Part 2: Research Methods I
246,html,Instructions,/c080216c47394f9591d9b36683747441/3efc4c88b20942a2867e130156740c1d,Part 2: Research Methods I
253,openassessment,48b05b1984e14612a2654ee7610edab7,/c080216c47394f9591d9b36683747441/e7203886c21741a88ebec12a2c272977,Part 2: Research Methods I
254,openassessment,4ee16a22e45b4e53977f4143b24a70cd,/c080216c47394f9591d9b36683747441/e7203886c21741a88ebec12a2c272977,Part 2: Research Methods I
255,sequential,Web Resources,/c080216c47394f9591d9b36683747441/9a9ac5d785404130bd8efaac71f7ffcb,Part 2: Research Methods I
256,vertical,Web Resources,/c080216c47394f9591d9b36683747441/9a9ac5d785404130bd8efaac71f7ffcb,Part 2: Research Methods I
257,html,Web Resources,/c080216c47394f9591d9b36683747441/9a9ac5d785404130bd8efaac71f7ffcb,Part 2: Research Methods I
284,sequential,Part 2 General Discussion,/c080216c47394f9591d9b36683747441/d40ac320d7d54012977f2679d47a85d5,Part 2: Research Methods I
285,vertical,Part 2 General Discussion,/c080216c47394f9591d9b36683747441/d40ac320d7d54012977f2679d47a85d5,Part 2: Research Methods I
286,html,Part 2: General Discussion,/c080216c47394f9591d9b36683747441/d40ac320d7d54012977f2679d47a85d5,Part 2: Research Methods I
287,html,Part 2: AP Psych Teachers General Discussion,/c080216c47394f9591d9b36683747441/d40ac320d7d54012977f2679d47a85d5,Part 2: Research Methods I
